state,county,state_fips,county_fips,fips
Alabama,Autauga County,01,001,01001
Alabama,Baldwin County,01,003,01003
Alabama,Barbour County,01,005,01005
Alabama,Bibb County,01,007,01007
Alabama,Blount County,01,009,01009
Alabama,Bullock County,01,011,01011
Alabama,Butler County,01,013,01013
Alabama,Calhoun County,01,015,01015
Alabama,Chambers County,01,017,01017
Alabama,Cherokee County,01,019,01019
Alabama,Chilton County,01,021,01021
Alabama,Choctaw County,01,023,01023
Alabama,Clarke County,01,025,01025
Alabama,Clay County,01,027,01027
Alabama,Cleburne County,01,029,01029
Alabama,Coffee County,01,031,01031
Alabama,Colbert County,01,033,01033
Alabama,Conecuh County,01,035,01035
Alabama,Coosa County,01,037,01037
Alabama,Covington County,01,039,01039
Alabama,Crenshaw County,01,041,01041
Alabama,Cullman County,01,043,01043
Alabama,Dale County,01,045,01045
Alabama,Dallas County,01,047,01047
Alabama,DeKalb County,01,049,01049
Alabama,Elmore County,01,051,01051
Alabama,Escambia County,01,053,01053
Alabama,Etowah County,01,055,01055
Alabama,Fayette County,01,057,01057
Alabama,Franklin County,01,059,01059
Alabama,Geneva County,01,061,01061
Alabama,Greene County,01,063,01063
Alabama,Hale County,01,065,01065
Alabama,Henry County,01,067,01067
Alabama,Houston County,01,069,01069
Alabama,Jackson County,01,071,01071
Alabama,Jefferson County,01,073,01073
Alabama,Lamar County,01,075,01075
Alabama,Lauderdale County,01,077,01077
Alabama,Lawrence County,01,079,01079
Alabama,Lee County,01,081,01081
Alabama,Limestone County,01,083,01083
Alabama,Lowndes County,01,085,01085
Alabama,Macon County,01,087,01087
Alabama,Madison County,01,089,01089
Alabama,Marengo County,01,091,01091
Alabama,Marion County,01,093,01093
Alabama,Marshall County,01,095,01095
Alabama,Mobile County,01,097,01097
Alabama,Monroe County,01,099,01099
Alabama,Montgomery County,01,101,01101
Alabama,Morgan County,01,103,01103
Alabama,Perry County,01,105,01105
Alabama,Pickens County,01,107,01107
Alabama,Pike County,01,109,01109
Alabama,Randolph County,01,111,01111
Alabama,Russell County,01,113,01113
Alabama,St. Clair County,01,115,01115
Alabama,Shelby County,01,117,01117
Alabama,Sumter County,01,119,01119
Alabama,Talladega County,01,121,01121
Alabama,Tallapoosa County,01,123,01123
